id_origem;cd_origem;id_categoria_economica;categoria_economica;nome
46;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEF - FPE
47;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEF - TRANSFERENCIAS DA UNIAO
48;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEF -IPI EXPORTACAO
49;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEB - ICMS - DESONERCAO - LEI C OMPLEMENTAR 87/96
50;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEF - ICMS - DESONERCAO - LEI COMPLEMENTAR 87/96
51;7;9;DEDUCOES DA RECEITA CORRENTE;TRANSFERENCIAS CORRENTES
52;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DO ESTADO - DIVIDA ATIVA TRIBUTARIA DO ICMS - CESSAO DE DIREITOS CREDITORIOS - LEI 19266/2010
53;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DO ESTADO - MULTAS DO ICMS - CESSAO DE DIREITOS CREDITORIOS - LEI 19266/2010
54;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DOS MUNICIPIOS - DIVIDA ATIVA TRIBUTARIA DO ICMS
55;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DOS MUNICIPIOS - DIVIDA ATIVA TRIBUTARIA DO IPVA
56;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DOS MUNICIPIOS - MULTAS ICMS
57;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DOS MUNICIPIOS - MULTAS IPVA
58;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA MULTA ISOLADA POR INFRACAO OBRIGATORIA ACESSORIA - CESSAO DE DIREITOS CREDITORIOS - LEI 19266/2010
