id_tempo,id_unidade_orc,id_origem,id_especie,id_desdobramento_1,id_desdobramento_2,id_desdobramento_3,id_tipo,id_item,id_subitem,id_fonte,cd_fonte,cd_classificacao_rec,ano_particao,vr_efetivado
2246,3937,16,145,173,110,606,773,4351,2912,22,24,2418109120003.0,2019,0.0
2250,3937,120,44,124,64,209,400,3446,1163,73,10,1118012201000.0,2019,15890153.94
2250,3937,6,191,118,91,60,1440,4806,1705,73,10,1321001101000.0,2019,8218323.53
2250,3937,11,131,96,418,497,1317,4634,2225,73,10,1910091101000.0,2019,103678.87
2250,3937,120,44,124,64,209,212,3742,1541,54,20,1118012102000.0,2019,112203718.49
2231,3723,10,139,9,148,285,741,3657,1446,4,23,1758011101000.0,2018,113062763.93
2246,3884,120,76,64,111,205,1140,4201,2052,136,77,1122011302000.0,2019,0.0
2232,3731,141,206,17,107,195,1502,3089,2222,25,60,1610041199000.0,2018,33009.76
2248,3932,141,159,167,98,172,1466,3638,2497,65,61,1640011101000.0,2019,1118.16
2234,3718,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2018,199409.97
2234,3792,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2018,5.34
2234,3792,135,138,132,180,323,426,3483,1201,25,60,7630011101000.0,2018,0.0
2234,3737,86,196,106,229,315,796,4678,1564,25,60,7990991106000.0,2018,1994438.0
2234,3721,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,314270.67
2248,3884,141,206,17,343,639,71,4438,3064,25,60,1610011323002.0,2019,32396.350000000002
2248,3917,141,159,167,98,172,1466,3638,2497,25,60,1640011101000.0,2019,71332.18000000001
2248,3867,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2019,1447.0
2234,3814,120,76,64,111,205,593,3883,946,136,77,1122011402000.0,2018,7066.5
2234,3814,120,76,64,41,659,321,4986,3039,136,77,1122021401000.0,2018,28739.940000000002
2235,3781,120,44,124,64,209,213,4372,2631,73,10,1118012301000.0,2018,2810654.77
2235,3781,10,145,173,147,476,1103,4294,301,73,10,1718018101000.0,2018,20.97
2235,3781,11,131,96,413,802,183,3378,2932,73,10,1910011104999.0,2018,1173878.76
2249,3937,11,131,96,418,497,1317,4634,2225,73,10,1910091101000.0,2019,698808.11
2249,3937,11,168,154,63,204,1325,4645,746,73,10,1922011101000.0,2019,145101.84
2249,3937,120,44,124,64,209,213,3744,1543,54,20,1118012302000.0,2019,6264558.55
2249,3859,114,211,107,383,122,971,4075,1189,4,23,9118012303000.0,2019,0.0
2235,3777,141,206,17,343,639,1005,4453,2731,25,60,1610011199001.0,2018,27.2
2235,3773,137,22,14,26,431,322,2976,2435,79,50,1210991102007.0,2018,12455.35
2235,3715,86,196,106,273,517,415,3141,785,47,58,7990011101001.0,2018,615491876.11
2235,3746,6,207,20,394,553,491,3256,2781,25,60,1310011101001.0,2018,6443.110000000001
2235,3757,141,206,17,343,639,1005,3804,1290,25,60,1610011111002.0,2018,905122.87
2235,3736,141,206,17,343,639,1005,4451,1266,25,60,1610011128000.0,2018,1388376.3599999999
2242,3781,6,191,118,91,60,1440,4806,1705,75,31,1321001101000.0,2018,6597.34
2242,3781,6,191,118,91,60,1440,4806,1705,92,45,1321001101000.0,2018,0.0
2235,3732,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2018,7904.54
2235,3757,16,146,153,336,629,1362,4945,3004,96,70,2448101102001.0,2018,480000.0
