id_tempo,mes,ano,anomes_formatado
602,3,2043,03/2043
603,4,2043,04/2043
604,5,2043,05/2043
605,6,2043,06/2043
606,7,2043,07/2043
607,8,2043,08/2043
608,9,2043,09/2043
609,10,2043,10/2043
610,11,2043,11/2043
611,12,2043,12/2043
612,0,2044,00/2044
613,14,2044,14/2044
614,13,2044,13/2044
615,1,2044,01/2044
616,2,2044,02/2044
617,3,2044,03/2044
618,4,2044,04/2044
619,5,2044,05/2044
620,6,2044,06/2044
621,7,2044,07/2044
622,8,2044,08/2044
623,9,2044,09/2044
624,10,2044,10/2044
625,11,2044,11/2044
626,12,2044,12/2044
627,0,2045,00/2045
628,14,2045,14/2045
629,13,2045,13/2045
630,1,2045,01/2045
631,2,2045,02/2045
632,3,2045,03/2045
633,4,2045,04/2045
634,5,2045,05/2045
635,6,2045,06/2045
636,7,2045,07/2045
637,8,2045,08/2045
638,9,2045,09/2045
639,10,2045,10/2045
640,11,2045,11/2045
641,12,2045,12/2045
642,0,2046,00/2046
643,14,2046,14/2046
644,13,2046,13/2046
645,1,2046,01/2046
646,2,2046,02/2046
647,2,1968,02/1968
648,3,1968,03/1968
649,4,1968,04/1968
650,5,1968,05/1968
651,6,1968,06/1968
652,7,1968,07/1968
653,8,1968,08/1968
654,9,1968,09/1968
655,10,1968,10/1968
656,11,1968,11/1968
657,6,1977,06/1977
658,7,1977,07/1977
659,8,1977,08/1977
660,9,1977,09/1977
661,10,1977,10/1977
662,11,1977,11/1977
663,12,1977,12/1977
664,0,1978,00/1978
665,14,1978,14/1978
666,13,1978,13/1978
667,1,1978,01/1978
668,2,1978,02/1978
669,3,1978,03/1978
670,4,1978,04/1978
671,5,1978,05/1978
672,6,1978,06/1978
673,7,1978,07/1978
674,8,1978,08/1978
675,9,1978,09/1978
676,10,1978,10/1978
677,11,1978,11/1978
678,12,1978,12/1978
679,0,1979,00/1979
680,14,1979,14/1979
681,13,1979,13/1979
682,1,1979,01/1979
683,2,1979,02/1979
684,3,1979,03/1979
685,4,1979,04/1979
686,5,1979,05/1979
687,6,1979,06/1979
688,7,1979,07/1979
689,8,1979,08/1979
690,9,1979,09/1979
691,10,1979,10/1979
692,11,1979,11/1979
693,12,1979,12/1979
694,0,1980,00/1980
695,14,1980,14/1980
696,13,1980,13/1980
697,1,1980,01/1980
698,2,1980,02/1980
699,3,1980,03/1980
700,4,1980,04/1980
701,5,1980,05/1980
702,6,1980,06/1980
703,7,1980,07/1980
704,8,1980,08/1980
705,9,1980,09/1980
706,10,1980,10/1980
707,11,1980,11/1980
708,12,1980,12/1980
709,0,1981,00/1981
710,14,1981,14/1981
711,13,1981,13/1981
712,1,1981,01/1981
713,2,1981,02/1981
714,3,1981,03/1981
715,4,1981,04/1981
716,13,2029,13/2029
717,1,2029,01/2029
718,2,2029,02/2029
719,3,2029,03/2029
720,4,2029,04/2029
721,5,2029,05/2029
722,0,2030,00/2030
723,6,2029,06/2029
724,7,2029,07/2029
725,8,2029,08/2029
726,9,2029,09/2029
727,10,2029,10/2029
728,11,2029,11/2029
729,12,2029,12/2029
730,14,2030,14/2030
731,13,2030,13/2030
732,1,2030,01/2030
733,2,2030,02/2030
734,3,2030,03/2030
735,4,2030,04/2030
736,5,2030,05/2030
737,6,2030,06/2030
738,7,2030,07/2030
739,8,2030,08/2030
740,9,2030,09/2030
741,10,2030,10/2030
742,11,2030,11/2030
743,12,2030,12/2030
744,0,2031,00/2031
745,14,2031,14/2031
746,13,2031,13/2031
747,1,2031,01/2031
748,2,2031,02/2031
749,3,2031,03/2031
750,4,2031,04/2031
751,5,2031,05/2031
752,6,2031,06/2031
753,7,2031,07/2031
754,8,2031,08/2031
755,9,2031,09/2031
756,10,2031,10/2031
757,11,2031,11/2031
758,12,2031,12/2031
759,0,2032,00/2032
760,14,2032,14/2032
761,13,2032,13/2032
762,1,2032,01/2032
763,2,2032,02/2032
764,3,2032,03/2032
765,4,2032,04/2032
766,5,2032,05/2032
767,6,2032,06/2032
768,7,2032,07/2032
769,8,2032,08/2032
770,9,2032,09/2032
771,10,2032,10/2032
772,11,2032,11/2032
773,12,2032,12/2032
774,0,2033,00/2033
775,14,2033,14/2033
776,13,2033,13/2033
777,1,2033,01/2033
778,2,2033,02/2033
779,3,2033,03/2033
780,4,2033,04/2033
781,5,2033,05/2033
782,6,2033,06/2033
783,7,2033,07/2033
784,8,2033,08/2033
785,9,2033,09/2033
786,10,2033,10/2033
787,11,2033,11/2033
788,12,2033,12/2033
789,0,2034,00/2034
790,14,2034,14/2034
791,13,2034,13/2034
792,1,2034,01/2034
793,2,2034,02/2034
794,3,2034,03/2034
795,4,2034,04/2034
796,5,2034,05/2034
797,6,2034,06/2034
798,7,2034,07/2034
799,8,2034,08/2034
800,9,2034,09/2034
801,10,2034,10/2034
802,11,2034,11/2034
803,12,2034,12/2034
804,0,2035,00/2035
805,14,2035,14/2035
806,13,2035,13/2035
807,1,2035,01/2035
808,2,2035,02/2035
809,3,2035,03/2035
810,4,2035,04/2035
811,5,2035,05/2035
812,6,2035,06/2035
813,7,2035,07/2035
814,8,2035,08/2035
815,9,2035,09/2035
816,10,2035,10/2035
817,11,2035,11/2035
818,12,2035,12/2035
819,0,2036,00/2036
820,14,2036,14/2036
821,13,2036,13/2036
822,1,2036,01/2036
823,2,2036,02/2036
824,3,2036,03/2036
825,4,2036,04/2036
826,5,2036,05/2036
827,6,2036,06/2036
828,7,2036,07/2036
829,8,2036,08/2036
830,9,2036,09/2036
831,10,2036,10/2036
832,11,2036,11/2036
833,12,2036,12/2036
834,0,2037,00/2037
835,14,2037,14/2037
836,13,2037,13/2037
837,1,2037,01/2037
838,2,2037,02/2037
839,3,2037,03/2037
840,4,2037,04/2037
841,5,2037,05/2037
842,6,2037,06/2037
843,7,2037,07/2037
844,8,2037,08/2037
845,11,1972,11/1972
846,12,1972,12/1972
847,0,1973,00/1973
848,14,1973,14/1973
849,13,1973,13/1973
850,1,1973,01/1973
851,2,1973,02/1973
852,3,1973,03/1973
853,4,1973,04/1973
854,5,1973,05/1973
855,6,1973,06/1973
856,7,1973,07/1973
857,8,1973,08/1973
858,9,1973,09/1973
859,10,1973,10/1973
860,11,1973,11/1973
861,12,1973,12/1973
862,0,1974,00/1974
863,14,1974,14/1974
864,13,1974,13/1974
865,1,1974,01/1974
866,2,1974,02/1974
867,3,1974,03/1974
868,4,1974,04/1974
869,5,1974,05/1974
870,6,1974,06/1974
871,7,1974,07/1974
872,8,1974,08/1974
873,9,1974,09/1974
874,10,1974,10/1974
875,11,1974,11/1974
876,12,1974,12/1974
877,0,1975,00/1975
878,14,1975,14/1975
879,13,1975,13/1975
880,1,1975,01/1975
881,2,1975,02/1975
882,3,1975,03/1975
883,4,1975,04/1975
884,5,1975,05/1975
885,6,1975,06/1975
886,7,1975,07/1975
887,8,1975,08/1975
888,9,1975,09/1975
