id_tempo;id_orgao;id_convenio;id_concedente;id_unidade_orc;id_situacao;ano_particao;vr_concedente_atual;vr_proponente_atual
38675;3;161;1159;1871;2;2009;100000.00;20000.00
38675;3;1044;1159;1871;2;2009;623345.00;124669.00
38675;3;1045;1159;1871;2;2009;100000.00;20000.00
38675;3;244;1159;1871;2;2009;190000.00;47500.00
37813;3;291;1159;1871;2;2008;300000.00;75000.00
37813;3;183;1159;1871;2;2008;880208.00;176042.00
38675;3;204;1159;1871;2;2009;726000.00;181500.00
38675;3;218;1159;1871;2;2009;1200000.00;240000.00
38675;3;254;1159;1871;2;2009;200000.00;51874.44
39129;17;292;992;3039;2;2009;291610.40;45113.15
39129;17;265;992;3039;2;2009;554341.14;61593.46
39129;17;252;992;3039;2;2009;543016.98;60335.22
39129;17;286;992;3039;2;2009;533433.16;59270.35
37747;17;269;840;3039;2;2008;5414385.00;1130304.00
39186;16;235;553;3245;2;2009;42000.00;0.00
38678;16;215;261;3245;2;2009;129145.00;2635.00
39193;16;184;260;3245;2;2009;6666205.68;0.00
40033;4;194;992;2625;2;2009;600000.00;150000.00
39131;4;1023;992;2625;2;2009;413052.36;45894.70
